SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
FPA04L077,Ficus Pandurata,7,581,si,bolsa 4 litros|bolsa 20 litros|bolsa 60 litros|maceta negra 8 pulgadas|bolsa 30 litros,,,,,,,,
FPE06P006,Ficus Petiolaris,23,611,si,maceta negra 6 pulgadas|bolsa 10 litros,,,,,,,,
FRE02L113,Fresno,49,30,no,bolsa 2 litros|bolsa 20 litros,,,,,,,,
FRE06P125,Fresa,25,923,si,maceta negra 6 pulgadas,,,,,,,,
FRO30L103,Falso Romero,8,265,si,bolsa 30 litros|bolsa 8 litros,,,,,,,,
FSL10L153,Ficus Star Ligth,13,27,no,bolsa 10 litros,,,,,,,,
FTR04L010,Ficus Triangularis,37,174,no,bolsa 4 litros|bolsa 10 litros|bolsa 45 litros,,,,,,,,
GAL10L006,Galathea,18,508,si,bolsa 10 litros,,,,,,,,
GAR20L170,Gardenia,6,0,no,bolsa 20 litros,,,,,,,,
GAS04P126,Gasteria,8,30,no,maceta negra 4 pulgadas|maceta negra 6 pulgadas|maceta negra 3 pulgadas,,,,,,,,
GCA20L077,Guayabo Calvillo,2,10,no,bolsa 20 litros|bolsa 10 litros,,,,,,,,
GCA12L010,Guayabo California,63,753,si,bolsa 12 litros,,,,,,,,
GFI05P130,Goldfish,59,72,no,maceta negra 5 pulgadas|maceta negra 6 pulgadas,,,,,,,,
GJA04L010,Guayabo Japones,20,266,si,bolsa 4 litros|bolsa 18 litros|bolsa 45 litros|bolsa 20 litros|bolsa 60 litros,,,,,,,,
GOS04P003,Garrita De Oso Varigado,68,121,no,maceta negra 4 pulgadas,,,,,,,,
GPE10L010,Guayaba Peruana,20,0,no,bolsa 10 litros,,,,,,,,
GPI30L006,Guayabo Piña,5,33,no,bolsa 30 litros,,,,,,,,
GRA45L010,Granada,1,19,no,bolsa 45 litros,,,,,,,,
GRE30L113,Grevilia,11,5,no,bolsa 30 litros|bolsa 65 litros,,,,,,,,
HMO08L129,Guayacan Rosa,1,87,no,bolsa 8 litros|bolsa 45 litros|bolsa 80 litros|bolsa 3 litros,,,,,,,,
GUA02P116,Guanabana,64,29,no,maceta negra 2 pulgadas|bolsa 30 litros|bolsa 60 litros,,,,,,,,
GUA03L113,Guamuchil,58,0,no,bolsa 3 litros,,,,,,,,
GUA03L129,Guaje,4,74,no,bolsa 3 litros,,,,,,,,
GUA04L077,Guayabo Rosa,1,297,si,bolsa 4 litros,,,,,,,,
GUA12L124,Guayabo,11,1,no,bolsa 12 litros,,,,,,,,
HAM04L010,Hule Amarillo,39,126,no,bolsa 4 litros,,,,,,,,
